repo,fqcn,variant,auto_pmd_violations,candidate_pmd_violations,cpd_duplicate_blocks,cpd_duplicate_lines_total
quarkusio/quarkus,io.quarkus.qute.deployment.QuteProcessor,auto,0,,,
quarkusio/quarkus,io.quarkus.qute.deployment.QuteProcessor,adopted,0,0,55,412
quarkusio/quarkus,io.quarkus.qute.deployment.QuteProcessor,agentic,0,0,24,194
dropwizard/dropwizard,io.dropwizard.client.HttpClientBuilder,auto,0,,,
dropwizard/dropwizard,io.dropwizard.client.HttpClientBuilder,adopted,0,0,48,320
wildfly/wildfly,org.jboss.as.connector.subsystems.datasources.Constants,auto,0,,,
wildfly/wildfly,org.jboss.as.connector.subsystems.datasources.Constants,adopted,0,0,0,0
wildfly/wildfly,org.jboss.as.connector.subsystems.datasources.Constants,agentic,0,0,0,0
javaparser/javaparser,com.github.javaparser.ast.visitor.CloneVisitor,auto,0,,,
javaparser/javaparser,com.github.javaparser.ast.visitor.CloneVisitor,adopted,0,0,0,0
javaparser/javaparser,com.github.javaparser.ast.visitor.CloneVisitor,agentic,0,0,0,0
seata/seata,io.seata.config.FileConfiguration,auto,0,,,
seata/seata,io.seata.config.FileConfiguration,adopted,0,0,0,0
seata/seata,io.seata.config.FileConfiguration,agentic,0,0,2,26
alibaba/druid,com.alibaba.druid.pool.DruidDataSource,auto,0,,,
alibaba/druid,com.alibaba.druid.pool.DruidDataSource,adopted,0,0,0,0
alibaba/druid,com.alibaba.druid.pool.DruidDataSource,agentic,0,0,0,0
orientechnologies/orientdb,com.orientechnologies.orient.core.record.impl.ODocument,auto,0,,,
orientechnologies/orientdb,com.orientechnologies.orient.core.record.impl.ODocument,adopted,0,0,1,15
orientechnologies/orientdb,com.orientechnologies.orient.core.record.impl.ODocument,agentic,0,0,12,166
orientechnologies/orientdb,com.orientechnologies.orient.core.sql.parser.OMatchStatement,auto,0,,,
orientechnologies/orientdb,com.orientechnologies.orient.core.sql.parser.OMatchStatement,adopted,0,0,0,0
orientechnologies/orientdb,com.orientechnologies.orient.core.sql.parser.OMatchStatement,agentic,0,0,1,13
apache/incubator-shenyu,org.apache.shenyu.common.enums.PluginEnum,auto,0,,,
apache/incubator-shenyu,org.apache.shenyu.common.enums.PluginEnum,adopted,0,0,0,0
apache/incubator-shenyu,org.apache.shenyu.common.enums.PluginEnum,agentic,0,0,0,0
