repo,fqcn,variant,line_percentage_coverage,line_covered,line_total,branch_percentage_coverage,branch_covered,branch_total,failed,timeout,skipped
quarkusio/quarkus,io.quarkus.qute.deployment.QuteProcessor,auto-reduced,5.337691,98,1836,1.735537,21,1210,0,0,0
quarkusio/quarkus,io.quarkus.qute.deployment.QuteProcessor,adopted-reduced,2.178649,40,1836,1.735537,21,1210,0,0,0
quarkusio/quarkus,io.quarkus.qute.deployment.QuteProcessor,agentic-reduced,3.540305,65,1836,2.809917,34,1210,0,0,0
dropwizard/dropwizard,io.dropwizard.client.HttpClientBuilder,auto-reduced,0.000000,0,0,0.000000,0,0,1,0,0
wildfly/wildfly,org.jboss.as.connector.subsystems.datasources.Constants,auto-reduced,100.000000,527,527,0.000000,0,0,0,0,0
wildfly/wildfly,org.jboss.as.connector.subsystems.datasources.Constants,adopted-reduced,100.000000,527,527,0.000000,0,0,0,0,0
wildfly/wildfly,org.jboss.as.connector.subsystems.datasources.Constants,agentic-reduced,100.000000,527,527,0.000000,0,0,0,0,0
javaparser/javaparser,com.github.javaparser.ast.visitor.CloneVisitor,auto-reduced,0.000000,0,0,0.000000,0,0,1,0,0
javaparser/javaparser,com.github.javaparser.ast.visitor.CloneVisitor,adopted-reduced,34.424379,305,886,75.000000,12,16,0,0,0
javaparser/javaparser,com.github.javaparser.ast.visitor.CloneVisitor,agentic-reduced,14.785553,131,886,56.250000,9,16,0,0,0
seata/seata,io.seata.config.FileConfiguration,auto-reduced,0.000000,0,0,0.000000,0,0,1,0,0
seata/seata,io.seata.config.FileConfiguration,adopted-reduced,0.000000,0,19,0.000000,0,0,0,0,0
seata/seata,io.seata.config.FileConfiguration,agentic-reduced,36.842105,7,19,0.000000,0,0,0,0,0
alibaba/druid,com.alibaba.druid.pool.DruidDataSource,auto-reduced,13.090909,252,1925,4.633205,48,1036,0,0,0
alibaba/druid,com.alibaba.druid.pool.DruidDataSource,adopted-reduced,13.298701,256,1925,5.115830,53,1036,0,0,0
orientechnologies/orientdb,com.orientechnologies.orient.core.record.impl.ODocument,auto-reduced,3.058824,52,1700,0.643777,9,1398,0,0,0
orientechnologies/orientdb,com.orientechnologies.orient.core.record.impl.ODocument,adopted-reduced,3.000000,51,1700,0.643777,9,1398,0,0,0
orientechnologies/orientdb,com.orientechnologies.orient.core.record.impl.ODocument,agentic-reduced,13.294118,226,1700,9.513591,133,1398,0,0,0
orientechnologies/orientdb,com.orientechnologies.orient.core.sql.parser.OMatchStatement,auto-reduced,37.694704,121,321,23.170732,57,246,0,0,0
orientechnologies/orientdb,com.orientechnologies.orient.core.sql.parser.OMatchStatement,adopted-reduced,0.000000,0,0,0.000000,0,0,1,0,0
orientechnologies/orientdb,com.orientechnologies.orient.core.sql.parser.OMatchStatement,agentic-reduced,0.000000,0,0,0.000000,0,0,1,0,0
apache/incubator-shenyu,org.apache.shenyu.common.enums.PluginEnum,auto-reduced,97.014925,65,67,0.000000,0,0,0,0,0
