test_selector,class_name,newly_covered_lines,upgraded_to_full_lines
com.alibaba.druid.pool.DruidDataSource_ESTest_Adopted#testCloneDruidDataSource_copiesTestOnBorrow,com.alibaba.druid.pool.DruidDataSourceStatLoggerAdapter,26,
com.alibaba.druid.pool.DruidDataSource_ESTest_Adopted#testCloneDruidDataSource_copiesTestOnBorrow,com.alibaba.druid.util.Utils,215;218;221-222;230;233;236;239-240;248;250;253;256-257;260;262;265;268-269;272;274-275;277;280,
com.alibaba.druid.pool.DruidDataSource_ESTest_Adopted#testCloneDruidDataSource_copiesTestOnBorrow,com.alibaba.druid.util.Histogram,25-28,
com.alibaba.druid.pool.DruidDataSource_ESTest_Adopted#testCloneDruidDataSource_copiesTestOnBorrow,com.alibaba.druid.pool.WrapperAdapter,21-22,
com.alibaba.druid.pool.DruidDataSource_ESTest_Adopted#testCloneDruidDataSource_copiesTestOnBorrow,com.alibaba.druid.util.DruidDataSourceUtils,39;239-244;246-247;251-253;255;257;265;267-268;279-303;305-306;316-317;322-323;328-341,
com.alibaba.druid.pool.DruidDataSource_ESTest_Adopted#testCloneDruidDataSource_copiesTestOnBorrow,com.alibaba.druid.pool.DruidAbstractDataSource,87;99;104-108;111-115;118;121;123;125-126;141-142;144-150;153;156;162;168;173;177;210;240;246;262;266;269;297-301;903;907-908;1632-1636;2146-2173;2175-2187;2190-2206,
com.alibaba.druid.pool.DruidDataSource_ESTest_Adopted#testCloneDruidDataSource_copiesTestOnBorrow,com.alibaba.druid.pool.DruidDataSourceStatLoggerImpl,35;37;39-41;48;52-53;56,
com.alibaba.druid.pool.DruidDataSource_ESTest_Adopted#testCloneDruidDataSource_copiesTestOnBorrow,com.alibaba.druid.pool.DruidDataSource,122;128;131;133;140;146;172-173;176;178-179;196-197;204;206;208;210;213;215;418;511;3513;3515;3517;3785,
com.alibaba.druid.pool.DruidDataSource_ESTest_Adopted#testCloneDruidDataSource_preservesDupCloseLogEnable,com.alibaba.druid.pool.DruidDataSourceStatLoggerAdapter,26,
com.alibaba.druid.pool.DruidDataSource_ESTest_Adopted#testCloneDruidDataSource_preservesDupCloseLogEnable,com.alibaba.druid.util.Utils,215;218;221-222;230;233;236;239-240;248;250;253;256-257;260;262;265;268-269;272;274-275;277;280,
com.alibaba.druid.pool.DruidDataSource_ESTest_Adopted#testCloneDruidDataSource_preservesDupCloseLogEnable,com.alibaba.druid.util.Histogram,25-28,
com.alibaba.druid.pool.DruidDataSource_ESTest_Adopted#testCloneDruidDataSource_preservesDupCloseLogEnable,com.alibaba.druid.pool.WrapperAdapter,21-22,
com.alibaba.druid.pool.DruidDataSource_ESTest_Adopted#testCloneDruidDataSource_preservesDupCloseLogEnable,com.alibaba.druid.util.DruidDataSourceUtils,39;239-244;246-247;251-253;255;257;265;267-268;279-303;305-306;316-317;322-323;328-341,
com.alibaba.druid.pool.DruidDataSource_ESTest_Adopted#testCloneDruidDataSource_preservesDupCloseLogEnable,com.alibaba.druid.pool.DruidAbstractDataSource,87;99;104-108;111-115;118;121;123;125-126;141-142;144-150;153;156;162;168;173;177;210;240;246;262;266;269;297-301;487;491-492;1632-1636;2146-2173;2175-2187;2190-2206,
com.alibaba.druid.pool.DruidDataSource_ESTest_Adopted#testCloneDruidDataSource_preservesDupCloseLogEnable,com.alibaba.druid.pool.DruidDataSourceStatLoggerImpl,35;37;39-41;48;52-53;56,
com.alibaba.druid.pool.DruidDataSource_ESTest_Adopted#testCloneDruidDataSource_preservesDupCloseLogEnable,com.alibaba.druid.pool.DruidDataSource,122;128;131;133;140;146;172-173;176;178-179;196-197;204;206;208;210;213;215;418;511;3513;3515;3517;3785,
com.alibaba.druid.pool.DruidDataSource_ESTest_Adopted#testClone_returnsDistinctInstance,com.alibaba.druid.pool.DruidDataSourceStatLoggerAdapter,26,
com.alibaba.druid.pool.DruidDataSource_ESTest_Adopted#testClone_returnsDistinctInstance,com.alibaba.druid.util.Utils,215;218;221-222;230;233;236;239-240;248;250;253;256-257;260;262;265;268-269;272;274-275;277;280,
com.alibaba.druid.pool.DruidDataSource_ESTest_Adopted#testClone_returnsDistinctInstance,com.alibaba.druid.util.Histogram,25-28,
com.alibaba.druid.pool.DruidDataSource_ESTest_Adopted#testClone_returnsDistinctInstance,com.alibaba.druid.pool.WrapperAdapter,21-22,
com.alibaba.druid.pool.DruidDataSource_ESTest_Adopted#testClone_returnsDistinctInstance,com.alibaba.druid.util.DruidDataSourceUtils,39;239-244;246-247;251-253;255;257;265;267-268;279-303;305-306;316-317;322-323;328-341,
com.alibaba.druid.pool.DruidDataSource_ESTest_Adopted#testClone_returnsDistinctInstance,com.alibaba.druid.pool.DruidAbstractDataSource,87;99;104-108;111-115;118;121;123;125-126;141-142;144-150;153;156;162;168;173;177;210;240;246;262;266;269;297-301;1632-1636;2146-2173;2175-2187;2190-2206,
com.alibaba.druid.pool.DruidDataSource_ESTest_Adopted#testClone_returnsDistinctInstance,com.alibaba.druid.pool.DruidDataSourceStatLoggerImpl,35;37;39-41;48;52-53;56,
com.alibaba.druid.pool.DruidDataSource_ESTest_Adopted#testClone_returnsDistinctInstance,com.alibaba.druid.pool.DruidDataSource,122;128;131;133;140;146;172-173;176;178-179;196-197;204;206;208;210;213;215;418;511;3509;3513;3515;3517;3785,
com.alibaba.druid.pool.DruidDataSource_ESTest_Adopted#testClose_doesNotDisableDataSource,com.alibaba.druid.pool.DruidDataSourceStatLoggerAdapter,26,
com.alibaba.druid.pool.DruidDataSource_ESTest_Adopted#testClose_doesNotDisableDataSource,com.alibaba.druid.support.logging.Jdk14LoggingImpl,90;95-97,
com.alibaba.druid.pool.DruidDataSource_ESTest_Adopted#testClose_doesNotDisableDataSource,com.alibaba.druid.util.Utils,215;218;221-222;230;233;236;239-240;248;250;253;256-257;260;262;265;268-269;272;274-275;277;280,
com.alibaba.druid.pool.DruidDataSource_ESTest_Adopted#testClose_doesNotDisableDataSource,com.alibaba.druid.util.Histogram,25-28,
com.alibaba.druid.pool.DruidDataSource_ESTest_Adopted#testClose_doesNotDisableDataSource,com.alibaba.druid.pool.WrapperAdapter,21-22,
com.alibaba.druid.pool.DruidDataSource_ESTest_Adopted#testClose_doesNotDisableDataSource,com.alibaba.druid.util.DruidDataSourceUtils,39;239-244;246-247;251-253;255;257;265;267-268;279-303;305-306;316-317;322-323;328-341,
com.alibaba.druid.pool.DruidDataSource_ESTest_Adopted#testClose_doesNotDisableDataSource,com.alibaba.druid.pool.DruidAbstractDataSource,87;99;104-108;111-115;118;121;123;125-126;141-142;144-150;153;156;162;168;173;177;210;240;246;262;266;269;297-301;1632-1636;2113,
com.alibaba.druid.pool.DruidDataSource_ESTest_Adopted#testClose_doesNotDisableDataSource,com.alibaba.druid.pool.DruidDataSourceStatLoggerImpl,35;37;39-41;48;52-53;56,
com.alibaba.druid.pool.DruidDataSource_ESTest_Adopted#testClose_doesNotDisableDataSource,com.alibaba.druid.pool.DruidDataSource,122;128;131;133;140;146;172-173;176;178-179;196-197;204;206;208;210;213;215;511;2082-2083;2086;2088;2092-2093;2151-2152,
com.alibaba.druid.pool.DruidDataSource_ESTest_Adopted#testCreateAndStartDestroyThread_noExceptions,com.alibaba.druid.pool.DruidDataSource$DestroyTask,2888-2889,
com.alibaba.druid.pool.DruidDataSource_ESTest_Adopted#testCreateAndStartDestroyThread_noExceptions,com.alibaba.druid.pool.DruidDataSourceStatLoggerAdapter,26,
com.alibaba.druid.pool.DruidDataSource_ESTest_Adopted#testCreateAndStartDestroyThread_noExceptions,com.alibaba.druid.util.Utils,215;218;221-222;230;233;236;239-240;248;250;253;256-257;260;262;265;268-269;272;274-275;277;280,
com.alibaba.druid.pool.DruidDataSource_ESTest_Adopted#testCreateAndStartDestroyThread_noExceptions,com.alibaba.druid.util.Histogram,25-28,
com.alibaba.druid.pool.DruidDataSource_ESTest_Adopted#testCreateAndStartDestroyThread_noExceptions,com.alibaba.druid.pool.WrapperAdapter,21-22,
com.alibaba.druid.pool.DruidDataSource_ESTest_Adopted#testCreateAndStartDestroyThread_noExceptions,com.alibaba.druid.util.DruidDataSourceUtils,39;239-244;246-247;251-253;255;257;265;267-268;279-303;305-306;316-317;322-323;328-341,
com.alibaba.druid.pool.DruidDataSource_ESTest_Adopted#testCreateAndStartDestroyThread_noExceptions,com.alibaba.druid.pool.DruidAbstractDataSource,87;99;104-108;111-115;118;121;123;125-126;141-142;144-150;153;156;162;168;173;177;210;240;246;262;266;269;297-301;1632-1636,
com.alibaba.druid.pool.DruidDataSource_ESTest_Adopted#testCreateAndStartDestroyThread_noExceptions,com.alibaba.druid.pool.DruidDataSourceStatLoggerImpl,35;37;39-41;48;52-53;56,
com.alibaba.druid.pool.DruidDataSource_ESTest_Adopted#testCreateAndStartDestroyThread_noExceptions,com.alibaba.druid.pool.DruidDataSource$DestroyConnectionThread,2847;2849-2852;2859;2861;2864;2868,
com.alibaba.druid.pool.DruidDataSource_ESTest_Adopted#testCreateAndStartDestroyThread_noExceptions,com.alibaba.druid.pool.DruidDataSource,122;128;131;133;140;146;172-173;176;178-179;196-197;204;206;208;210;213;215;418;511;984;986;996-999;3785,
com.alibaba.druid.pool.DruidDataSource_ESTest_Adopted#testCreateConnectionTask_constructorWithCreateError,com.alibaba.druid.pool.DruidDataSourceStatLoggerAdapter,26,
