class_name,added_lines,added_methods,added_branches,added_instructions
com.typesafe.config.impl.Tokenizer$TokenIterator,91,16,51,342
com.typesafe.config.impl.Parser,30,2,19,134
org.apache.seata.config.FileConfiguration,20,4,6,110
com.typesafe.config.impl.Tokens,18,8,2,77
com.typesafe.config.impl.TokenType,17,1,0,164
com.typesafe.config.impl.Tokenizer$TokenIterator$WhitespaceSaver,15,4,3,43
com.typesafe.config.impl.Tokens$Problem,14,2,0,50
org.apache.seata.config.AbstractConfiguration,12,8,4,67
org.apache.seata.config.FileConfiguration$ConfigOperateRunnable,12,0,10,52
org.apache.seata.config.ConfigurationChangeEvent,11,4,0,29
com.typesafe.config.impl.Token,10,4,1,31
org.apache.seata.config.ConfigFuture,9,1,6,44
org.slf4j.helpers.AbstractLogger,7,2,2,23
org.apache.seata.config.FileConfigFactory,7,2,1,39
org.apache.seata.config.ConfigurationCache,7,3,2,30
org.apache.seata.config.ConfigurationCache$ObjectWrapper,7,2,0,18
com.typesafe.config.impl.Tokenizer,6,2,5,33
org.apache.seata.config.ConfigurationChangeType,4,1,0,21
org.apache.seata.config.file.SimpleFileConfig,4,1,1,12
com.typesafe.config.ConfigException$BadPath,4,2,1,27
com.typesafe.config.impl.Tokenizer$ProblemException,4,2,0,9
com.typesafe.config.impl.Parser$Element,4,1,0,12
com.typesafe.config.impl.Tokens$UnquotedText,4,2,0,11
org.slf4j.helpers.NormalizedParameters,4,1,3,17
org.apache.seata.config.ConfigurationChangeListener,3,2,0,7
org.slf4j.helpers.MessageFormatter,3,1,1,8
org.apache.seata.common.loader.EnhancedServiceLoader$InnerEnhancedServiceLoader,3,0,2,14
com.typesafe.config.impl.SimpleConfigOrigin,2,1,1,18
org.apache.seata.config.Configuration,1,0,1,2
com.typesafe.config.impl.ConfigImplUtil,1,0,1,2
com.typesafe.config.ConfigFactory,1,1,0,5
org.apache.seata.config.ConfigurationCache$ConfigurationCacheInstance,1,1,0,5
org.apache.seata.common.util.StringUtils,1,1,2,6
com.typesafe.config.impl.SimpleConfig,0,0,1,0
