class_name,added_lines,added_methods,added_branches,added_instructions
com.github.javaparser.ast.visitor.CloneVisitor,361,46,0,2338
com.github.javaparser.ast.visitor.EqualsVisitor,160,35,102,867
com.github.javaparser.ast.body.CompactConstructorDeclaration,50,12,10,184
com.github.javaparser.ast.stmt.ForStmt,41,11,8,149
com.github.javaparser.ast.stmt.SwitchEntry,38,12,7,129
com.github.javaparser.ast.stmt.TryStmt,37,11,7,132
com.github.javaparser.ast.body.RecordDeclaration,34,7,7,155
com.github.javaparser.ast.expr.VariableDeclarationExpr,33,9,6,117
com.github.javaparser.ast.expr.ConditionalExpr,33,9,6,117
com.github.javaparser.ast.body.ReceiverParameter,33,9,6,116
com.github.javaparser.ast.stmt.ForEachStmt,32,8,6,112
com.github.javaparser.ast.expr.ArrayCreationExpr,32,9,6,109
com.github.javaparser.ast.body.VariableDeclarator,30,10,5,105
com.github.javaparser.ast.expr.BinaryExpr,30,8,5,104
com.github.javaparser.ast.stmt.ExplicitConstructorInvocationStmt,29,11,5,104
com.github.javaparser.ast.expr.InstanceOfExpr,28,9,5,98
com.github.javaparser.ast.stmt.IfStmt,28,9,6,98
com.github.javaparser.ast.expr.FieldAccessExpr,27,8,5,93
com.github.javaparser.ast.type.TypeParameter,26,8,4,94
com.github.javaparser.ast.ImportDeclaration,25,10,5,81
com.github.javaparser.ast.modules.ModuleRequiresDirective,24,7,4,83
com.github.javaparser.ast.stmt.SynchronizedStmt,23,6,4,78
com.github.javaparser.ast.expr.BinaryExpr$Operator,23,2,0,144
com.github.javaparser.ast.stmt.LabeledStmt,23,6,4,78
com.github.javaparser.ast.expr.NameExpr,18,6,2,66
com.github.javaparser.ast.type.PrimitiveType,18,7,3,77
com.github.javaparser.ast.Modifier,17,8,1,58
com.github.javaparser.ast.stmt.YieldStmt,16,6,2,52
com.github.javaparser.ast.expr.MatchAllPatternExpr,15,5,2,47
com.github.javaparser.ast.type.UnionType,15,5,2,49
com.github.javaparser.ast.stmt.ContinueStmt,15,6,2,56
com.github.javaparser.ast.expr.ArrayInitializerExpr,15,5,2,49
com.github.javaparser.ast.type.IntersectionType,15,5,2,47
com.github.javaparser.ast.NodeList,15,7,3,68
com.github.javaparser.ast.stmt.ThrowStmt,14,4,2,44
com.github.javaparser.ast.stmt.BreakStmt,14,5,2,48
com.github.javaparser.ast.expr.ClassExpr,14,4,2,42
com.github.javaparser.ast.expr.EnclosedExpr,14,4,2,44
com.github.javaparser.ast.stmt.ExpressionStmt,14,4,2,44
com.github.javaparser.ast.type.PrimitiveType$Primitive,14,2,0,83
com.github.javaparser.ast.modules.ModuleUsesDirective,13,4,2,42
com.github.javaparser.JavaToken,11,2,3,39
com.github.javaparser.ast.stmt.ReturnStmt,10,5,1,30
com.github.javaparser.ast.expr.ThisExpr,10,5,1,30
com.github.javaparser.ast.expr.LiteralStringValueExpr,10,3,1,32
com.github.javaparser.ast.expr.BooleanLiteralExpr,10,5,1,29
com.github.javaparser.ast.comments.BlockComment,8,4,0,22
com.github.javaparser.ast.type.UnknownType,8,4,1,23
com.github.javaparser.ast.type.VarType,7,4,0,19
com.github.javaparser.ast.Node,7,3,4,25
com.github.javaparser.ast.expr.CharLiteralExpr,6,3,0,18
com.github.javaparser.ast.expr.StringLiteralExpr,6,3,0,17
com.github.javaparser.ast.expr.LongLiteralExpr,6,3,0,18
com.github.javaparser.ast.stmt.SwitchEntry$Type,5,1,0,27
com.github.javaparser.ast.body.InitializerDeclaration,5,1,1,19
com.github.javaparser.ast.expr.TextBlockLiteralExpr,5,2,0,12
com.github.javaparser.ast.nodeTypes.NodeWithMembers,4,1,0,17
com.github.javaparser.ast.expr.Name,4,2,0,12
com.github.javaparser.ast.expr.LiteralExpr,3,1,0,6
com.github.javaparser.ast.modules.ModuleDirective,3,1,0,6
com.github.javaparser.ast.comments.LineComment,3,1,0,7
com.github.javaparser.utils.Utils,3,1,1,18
com.github.javaparser.ast.expr.ComponentPatternExpr,3,1,0,6
com.github.javaparser.ast.type.Type,2,1,0,7
com.github.javaparser.ast.body.AnnotationDeclaration,2,1,0,15
com.github.javaparser.ast.observer.AstObserverAdapter,1,1,0,3
com.github.javaparser.GeneratedJavaParserConstants,1,1,0,616
com.github.javaparser.ast.body.VariableDeclarator$1,1,1,0,6
com.github.javaparser.ast.body.BodyDeclaration,1,1,0,2
