class_name,added_lines,added_methods,added_branches,added_instructions
io.quarkus.arc.processor.DotNames,92,3,2,289
io.quarkus.qute.deployment.QuteProcessor,74,16,32,332
org.jboss.jandex.PrimitiveType,44,4,0,209
org.jboss.jandex.ClassType,36,5,1,162
org.jboss.jandex.DotName,29,3,28,139
org.jboss.logmanager.JBossLoggerFinder,25,3,6,97
org.jboss.jandex.Type,19,6,8,64
io.quarkus.arc.processor.InjectionPointInfo,18,4,5,73
io.quarkus.arc.deployment.AutoAddScopeBuildItem$Builder,18,7,3,72
org.jboss.jandex.Index,17,3,0,50
io.quarkus.qute.deployment.QuteProcessor$MatchResult,17,10,16,76
org.jboss.jandex.TypeVariable,16,7,4,61
org.jboss.jandex.WildcardType,15,5,6,70
io.quarkus.arc.processor.BeanConfiguratorBase,14,3,0,57
io.quarkus.arc.impl.ComputingCache,13,4,4,54
org.jboss.jandex.StackedIndex,13,4,2,62
io.quarkus.arc.processor.BuiltinScope,12,4,0,70
io.quarkus.arc.impl.LazyValue,12,2,3,37
org.jboss.jandex.PrimitiveType$Primitive,12,2,0,73
io.quarkus.arc.deployment.AutoAddScopeBuildItem,11,3,1,35
io.quarkus.runtime.annotations.ConfigPhase,10,2,0,50
org.jboss.jandex.Type$Kind,10,1,0,57
org.jboss.logmanager.Level,8,2,0,42
org.jboss.jandex.Utils,8,3,1,25
io.smallrye.config.ConfigMapping$NamingStrategy,7,2,0,32
io.quarkus.arc.processor.ScopeInfo,6,2,2,23
io.quarkus.arc.deployment.RegisteredComponentsBuildItem,6,1,0,19
io.quarkus.qute.deployment.QuteProcessor$FirstPassJavaMemberLookupConfig,6,2,2,23
io.quarkus.qute.deployment.QuteProcessor$FixedJavaMemberLookupConfig,6,2,0,15
io.quarkus.arc.deployment.SyntheticBeanBuildItem$ExtendedBeanConfigurator,6,2,1,17
io.quarkus.arc.deployment.BeanArchiveIndexBuildItem,6,2,0,15
io.quarkus.builder.item.BuildItem,5,1,2,14
org.jboss.logmanager.JBossLoggerFinder$JBossSystemLogger,5,3,0,19
io.quarkus.qute.deployment.TemplateRootsBuildItem,4,2,0,9
io.quarkus.qute.deployment.TypeCheckExcludeBuildItem,4,1,0,9
io.quarkus.qute.deployment.Types$AssignabilityCheck,4,1,0,11
io.quarkus.qute.deployment.TemplateVariantsBuildItem,4,2,0,9
io.quarkus.arc.processor.InjectionPointInfo$TypeAndQualifiers,4,1,0,9
io.quarkus.qute.deployment.EffectiveTemplatePathsBuildItem,4,2,0,9
io.quarkus.qute.deployment.TemplatePathExcludeBuildItem,4,2,0,9
io.quarkus.qute.deployment.TemplatesAnalysisBuildItem,4,2,0,9
io.quarkus.deployment.BuildProducerImpl,4,1,0,9
io.quarkus.arc.processor.InjectionPointInfo$InjectionPointKind,3,1,0,15
io.quarkus.arc.processor.ConfiguratorBase,3,2,0,10
io.quarkus.qute.generator.ValueResolverGenerator,3,1,0,12
io.quarkus.builder.item.MultiBuildItem,2,1,0,3
io.quarkus.arc.deployment.SynthesisFinishedBuildItem,2,1,0,4
io.quarkus.builder.item.SimpleBuildItem,2,1,0,3
io.quarkus.qute.runtime.QuteRecorder,2,2,0,12
io.quarkus.arc.deployment.SyntheticBeanBuildItem,2,2,0,13
io.quarkus.arc.impl.ComputingCache$1,2,2,0,18
io.quarkus.arc.deployment.AutoAddScopeBuildItem$MatchPredicate,2,1,0,9
io.quarkus.arc.processor.BeanDeployment,1,1,0,4
io.quarkus.qute.runtime.QuteRecorder$1,1,1,0,18
io.quarkus.qute.generator.TemplateGlobalGenerator,1,1,0,5
io.quarkus.arc.processor.BeanStream,1,1,0,2
org.jboss.jandex.Descriptor,1,1,0,3
io.quarkus.qute.deployment.QuteProcessor$6,1,1,0,9
org.jboss.jandex.EmptyIndex,1,1,0,5
org.jboss.jandex.IndexView,1,1,0,2
io.quarkus.arc.deployment.AutoAddScopeBuildItem$MatchPredicate$1,1,1,0,12
io.quarkus.deployment.dev.AlwaysFalsePredicate,1,1,0,3
