class_name,added_lines,added_methods,added_branches,added_instructions
com.alibaba.druid.pool.DruidDataSource,449,86,91,1791
com.alibaba.druid.pool.DruidAbstractDataSource,188,49,10,780
com.alibaba.druid.pool.DruidDataSourceStatValue,93,44,0,207
com.alibaba.druid.DbType,84,3,1,559
com.alibaba.druid.util.DruidDataSourceUtils,62,2,6,415
com.alibaba.druid.stat.DruidDataSourceStatManager,35,5,7,115
com.alibaba.druid.util.Utils,32,7,21,107
com.alibaba.druid.util.JdbcUtils,28,6,8,69
com.alibaba.druid.proxy.DruidDriver,20,5,1,68
com.alibaba.druid.pool.DruidDataSource$CreateConnectionTask,20,4,9,82
com.alibaba.druid.util.FnvHash,17,2,14,74
com.alibaba.druid.util.Histogram,15,4,6,77
com.alibaba.druid.pool.DruidDataSource$DestroyConnectionThread,12,2,4,39
com.alibaba.druid.support.logging.Jdk14LoggingImpl,10,4,0,63
com.alibaba.druid.stat.DruidStatService,9,2,1,28
com.alibaba.druid.pool.DruidDataSourceStatLoggerImpl,9,3,2,22
com.alibaba.druid.stat.DruidStatManagerFacade,6,3,0,18
com.alibaba.druid.pool.WrapperAdapter,6,3,4,19
com.alibaba.druid.pool.DruidDataSource$DestroyTask,5,2,1,18
com.alibaba.druid.pool.DruidDataSource$CreateConnectionThread,5,1,0,16
com.alibaba.druid.pool.DruidDataSource$1,5,2,0,24
com.alibaba.druid.proxy.DruidDriver$1,3,2,0,8
com.alibaba.druid.pool.DruidDataSourceStatLoggerAdapter,1,1,0,3
com.alibaba.druid.VERSION,1,1,0,2
