test_selector,class_name,newly_covered_lines,upgraded_to_full_lines
io.dropwizard.client.HttpClientBuilder_ESTest#testBuildThrowsTooManyResourcesException,ch.qos.logback.classic.LoggerContext,58-59;64-66;70;72;76-77;79-85;89-90;93-94;101-102;112-114;123;129-130;133-134;138;140;148-150;152;155-161;163-166;168;172-173;317;320;329;332;344-346;429;433-434,
io.dropwizard.client.HttpClientBuilder_ESTest#testBuildThrowsTooManyResourcesException,org.slf4j.helpers.Reporter$TargetChoice,41-42,
io.dropwizard.client.HttpClientBuilder_ESTest#testBuildThrowsTooManyResourcesException,io.dropwizard.client.HttpClientConfiguration,20-22;24-25;27-28;30-31;33;35;39;43-44;46;50-51;57-58;61;68;77;87;92;97;102;117;137;147;157;168;178;189;194-195;199,
io.dropwizard.client.HttpClientBuilder_ESTest#testBuildThrowsTooManyResourcesException,org.apache.hc.client5.http.config.RequestConfig$Builder,303-311;368-369;473-474;545-546;564-565;638-639;643;653;656,
io.dropwizard.client.HttpClientBuilder_ESTest#testBuildThrowsTooManyResourcesException,ch.qos.logback.core.spi.FilterAttachableImpl,27;29,
io.dropwizard.client.HttpClientBuilder_ESTest#testBuildThrowsTooManyResourcesException,org.apache.hc.client5.http.impl.DefaultAuthenticationStrategy,60;62;67;69-70,
io.dropwizard.client.HttpClientBuilder_ESTest#testBuildThrowsTooManyResourcesException,org.apache.hc.client5.http.ssl.HttpsSupport,65,
io.dropwizard.client.HttpClientBuilder_ESTest#testBuildThrowsTooManyResourcesException,ch.qos.logback.core.util.ReentryGuard$ReentryGuardImpl,85;87,
io.dropwizard.client.HttpClientBuilder_ESTest#testBuildThrowsTooManyResourcesException,ch.qos.logback.classic.util.DefaultJoranConfigurator,28;32-33;42;47-49;53-54;58;88-89;116;120-122;124;128-130;135,
io.dropwizard.client.HttpClientBuilder_ESTest#testBuildThrowsTooManyResourcesException,org.slf4j.helpers.BasicMDCAdapter,44;46;48,
io.dropwizard.client.HttpClientBuilder_ESTest#testBuildThrowsTooManyResourcesException,org.apache.hc.client5.http.psl.PublicSuffixListParser,52;54-55;109;111;113-115;117-119;121;123-127;130-132;134-136;142;146;150-152;155-157;159;161-162;164;166-167,
io.dropwizard.client.HttpClientBuilder_ESTest#testBuildThrowsTooManyResourcesException,org.apache.hc.client5.http.impl.classic.RedirectExec,78;86-91,
io.dropwizard.client.HttpClientBuilder_ESTest#testBuildThrowsTooManyResourcesException,org.apache.hc.client5.http.impl.classic.InternalHttpClient,84;110-122,
io.dropwizard.client.HttpClientBuilder_ESTest#testBuildThrowsTooManyResourcesException,ch.qos.logback.core.util.SimpleTimeBasedGuard,43;46-47;55-57;59-61;67-68,
io.dropwizard.client.HttpClientBuilder_ESTest#testBuildThrowsTooManyResourcesException,org.apache.hc.client5.http.impl.DefaultSchemePortResolver,43;48,
io.dropwizard.client.HttpClientBuilder_ESTest#testBuildThrowsTooManyResourcesException,org.slf4j.helpers.NOP_FallbackServiceProvider,8;15;17-19,
io.dropwizard.client.HttpClientBuilder_ESTest#testBuildThrowsTooManyResourcesException,ch.qos.logback.core.ConsoleAppender,46;48-49;57;93-96;98;101-103;110,
io.dropwizard.client.HttpClientBuilder_ESTest#testBuildThrowsTooManyResourcesException,org.apache.hc.client5.http.impl.auth.BearerSchemeFactory,48;51-52,
