class_name,added_lines,added_methods,added_branches,added_instructions
com.github.javaparser.ast.visitor.CloneVisitor,682,85,0,4397
com.github.javaparser.ast.visitor.EqualsVisitor,347,69,221,1910
com.github.javaparser.ast.body.Parameter,57,16,11,213
com.github.javaparser.ast.body.CompactConstructorDeclaration,50,12,10,184
com.github.javaparser.ast.stmt.ForStmt,41,11,8,149
com.github.javaparser.ast.stmt.SwitchEntry,40,13,7,142
com.github.javaparser.ast.expr.ObjectCreationExpr,40,13,8,145
com.github.javaparser.ast.body.RecordDeclaration,39,12,7,173
com.github.javaparser.ast.body.VariableDeclarator,37,11,7,132
com.github.javaparser.ast.modules.ModuleDeclaration,37,11,7,131
com.github.javaparser.ast.stmt.TryStmt,37,11,7,132
com.github.javaparser.ast.expr.MethodCallExpr,36,11,7,124
com.github.javaparser.ast.expr.ArrayCreationExpr,34,10,6,130
com.github.javaparser.ast.expr.VariableDeclarationExpr,33,9,6,117
com.github.javaparser.ast.expr.ConditionalExpr,33,9,6,117
com.github.javaparser.ast.body.ReceiverParameter,33,9,6,116
com.github.javaparser.ast.stmt.ForEachStmt,32,8,6,112
com.github.javaparser.ast.expr.AssignExpr,31,9,5,109
com.github.javaparser.ast.expr.BinaryExpr,30,8,5,104
com.github.javaparser.ast.stmt.ExplicitConstructorInvocationStmt,29,11,5,104
com.github.javaparser.ast.expr.LambdaExpr,28,9,5,104
com.github.javaparser.ast.expr.InstanceOfExpr,28,9,5,98
com.github.javaparser.ast.stmt.IfStmt,28,9,6,98
com.github.javaparser.ast.expr.FieldAccessExpr,27,8,5,93
com.github.javaparser.ast.expr.RecordPatternExpr,27,9,4,97
com.github.javaparser.ast.expr.MethodReferenceExpr,26,9,4,91
com.github.javaparser.ast.stmt.AssertStmt,26,8,5,87
com.github.javaparser.ast.type.TypeParameter,26,8,4,94
com.github.javaparser.ast.ImportDeclaration,25,10,5,81
com.github.javaparser.ast.PackageDeclaration,25,7,4,93
com.github.javaparser.ast.type.ArrayType,25,9,3,87
com.github.javaparser.ast.expr.ArrayAccessExpr,24,7,4,83
com.github.javaparser.ast.stmt.WhileStmt,24,7,4,79
com.github.javaparser.ast.modules.ModuleOpensDirective,24,7,4,83
com.github.javaparser.ast.modules.ModuleExportsDirective,24,7,4,83
com.github.javaparser.ast.expr.TypePatternExpr,24,7,4,81
com.github.javaparser.ast.modules.ModuleRequiresDirective,24,7,4,83
com.github.javaparser.ast.stmt.CatchClause,24,7,4,83
com.github.javaparser.ast.modules.ModuleProvidesDirective,24,7,4,83
com.github.javaparser.ast.stmt.SynchronizedStmt,23,6,4,78
com.github.javaparser.ast.stmt.SwitchStmt,23,6,4,78
com.github.javaparser.ast.expr.SwitchExpr,23,6,4,78
com.github.javaparser.ast.expr.BinaryExpr$Operator,23,2,0,144
com.github.javaparser.ast.expr.MemberValuePair,23,6,4,78
com.github.javaparser.ast.stmt.LabeledStmt,23,6,4,78
com.github.javaparser.ast.stmt.DoStmt,23,6,4,78
com.github.javaparser.ast.expr.CastExpr,22,6,4,73
com.github.javaparser.ast.ArrayCreationLevel,22,8,3,80
com.github.javaparser.ast.type.PrimitiveType,22,10,3,94
com.github.javaparser.ast.expr.UnaryExpr,21,6,3,70
com.github.javaparser.ast.Modifier,18,10,1,69
com.github.javaparser.ast.expr.NameExpr,18,6,2,66
com.github.javaparser.ast.expr.ThisExpr,17,6,3,52
com.github.javaparser.ast.expr.ClassExpr,17,6,2,54
com.github.javaparser.ast.stmt.ExpressionStmt,17,6,2,54
com.github.javaparser.ast.NodeList,17,8,3,74
com.github.javaparser.ast.type.UnionType,16,6,2,54
com.github.javaparser.ast.expr.AssignExpr$Operator,16,2,0,95
com.github.javaparser.ast.nodeTypes.NodeWithMembers,16,5,0,79
com.github.javaparser.ast.stmt.YieldStmt,16,6,2,52
com.github.javaparser.ast.expr.NormalAnnotationExpr,15,5,2,53
com.github.javaparser.ast.expr.MatchAllPatternExpr,15,5,2,47
com.github.javaparser.ast.stmt.ContinueStmt,15,6,2,56
com.github.javaparser.ast.expr.ArrayInitializerExpr,15,5,2,49
com.github.javaparser.ast.expr.EnclosedExpr,15,5,2,49
com.github.javaparser.ast.expr.TypeExpr,15,5,2,49
com.github.javaparser.ast.type.IntersectionType,15,5,2,47
com.github.javaparser.ast.type.PrimitiveType$Primitive,15,3,0,87
com.github.javaparser.ast.expr.SingleMemberAnnotationExpr,15,5,2,53
com.github.javaparser.ast.stmt.ThrowStmt,14,4,2,44
com.github.javaparser.ast.stmt.LocalRecordDeclarationStmt,14,4,2,44
com.github.javaparser.ast.stmt.BreakStmt,14,5,2,48
com.github.javaparser.ast.stmt.LocalClassDeclarationStmt,14,4,2,44
com.github.javaparser.ast.modules.ModuleUsesDirective,13,4,2,42
com.github.javaparser.ast.expr.UnaryExpr$Operator,13,2,0,78
com.github.javaparser.ast.expr.PatternExpr,12,3,2,37
com.github.javaparser.JavaToken,11,2,3,39
com.github.javaparser.ast.stmt.ReturnStmt,10,5,1,30
com.github.javaparser.ast.expr.LiteralStringValueExpr,10,3,1,32
com.github.javaparser.ast.expr.BooleanLiteralExpr,10,5,1,29
com.github.javaparser.ast.expr.SuperExpr,9,4,1,25
com.github.javaparser.ast.Node,9,6,5,51
com.github.javaparser.ast.comments.BlockComment,8,4,0,22
com.github.javaparser.ast.type.UnknownType,8,4,1,23
com.github.javaparser.GeneratedJavaParser,7,2,0,22
com.github.javaparser.ast.type.WildcardType,7,1,2,24
com.github.javaparser.ast.type.VarType,7,4,0,19
com.github.javaparser.ast.expr.CharLiteralExpr,6,3,0,18
com.github.javaparser.ast.type.VoidType,6,3,0,15
com.github.javaparser.ast.expr.StringLiteralExpr,6,3,0,17
com.github.javaparser.ast.expr.IntegerLiteralExpr,6,3,0,17
com.github.javaparser.ast.comments.MarkdownComment,6,3,0,16
com.github.javaparser.ast.expr.LongLiteralExpr,6,3,0,18
com.github.javaparser.ast.stmt.UnparsableStmt,5,2,0,10
com.github.javaparser.ast.stmt.SwitchEntry$Type,5,1,0,27
com.github.javaparser.ast.stmt.EmptyStmt,5,2,0,10
com.github.javaparser.ast.body.InitializerDeclaration,5,1,1,19
com.github.javaparser.ast.expr.NullLiteralExpr,5,2,0,10
com.github.javaparser.ast.expr.Name,5,3,1,17
com.github.javaparser.ast.expr.DoubleLiteralExpr,5,2,0,12
com.github.javaparser.ast.expr.TextBlockLiteralExpr,5,2,0,12
com.github.javaparser.ast.expr.LiteralExpr,3,1,0,6
com.github.javaparser.ast.modules.ModuleDirective,3,1,0,6
com.github.javaparser.ast.comments.LineComment,3,1,0,7
com.github.javaparser.utils.Utils,3,1,1,18
com.github.javaparser.HasParentNode,3,3,1,14
com.github.javaparser.ast.type.ArrayType$Origin,3,1,0,15
com.github.javaparser.ast.body.VariableDeclarator$1,3,2,1,10
com.github.javaparser.ast.body.BodyDeclaration,3,3,0,6
com.github.javaparser.ast.expr.ComponentPatternExpr,3,1,0,6
com.github.javaparser.ast.type.Type,2,1,0,7
com.github.javaparser.StaticJavaParser,2,1,0,7
com.github.javaparser.ast.observer.AstObserverAdapter,2,2,0,4
com.github.javaparser.GeneratedJavaParserConstants,1,1,0,616
com.github.javaparser.JavaParser,1,1,0,6
com.github.javaparser.JavaParserAdapter,1,1,0,8
com.github.javaparser.ast.type.ReferenceType,1,1,0,2
com.github.javaparser.ast.body.FieldDeclaration,0,0,1,5
com.github.javaparser.GeneratedJavaParserTokenManager,0,0,0,3
