class_name,added_lines,added_methods,added_branches,added_instructions
org.jboss.jandex.Indexer,749,70,409,4896
io.quarkus.qute.deployment.QuteProcessor,372,45,146,1765
org.jboss.jandex.GenericSignatureParser,186,28,80,825
io.quarkus.deployment.Feature,153,2,0,916
org.jboss.jandex.DotName,140,13,110,526
org.slf4j.LoggerFactory,96,19,26,290
org.jboss.jandex.MethodInternal,96,25,72,476
org.jboss.jandex.ClassInfo,93,36,43,378
io.quarkus.arc.processor.DotNames,92,3,2,289
org.jboss.jandex.PrimitiveType,81,12,26,306
io.quarkus.gizmo2.creator.ModifierLocation,77,9,2,800
org.jboss.logmanager.LoggerNode,75,9,25,319
org.jboss.jandex.StrongInternPool,71,20,31,294
org.jboss.jandex.ArrayType,62,13,17,453
io.quarkus.qute.ReflectionValueResolver,62,13,45,304
org.jboss.jandex.MethodParamList,60,5,36,242
org.jboss.logmanager.FastCopyHashMap,59,11,19,248
org.jboss.jandex.Index,46,10,3,156
org.jboss.jandex.MethodInfo,45,24,7,163
org.jboss.jandex.NameTable,39,11,21,193
org.jboss.jandex.ClassType,38,7,2,171
org.jboss.jandex.TypeVariable,37,15,13,159
org.jboss.jandex.FieldInternal,34,10,12,134
org.jboss.jandex.Type,33,11,18,127
org.jboss.logmanager.LogContext,31,9,7,132
io.quarkus.qute.Parser,31,4,20,113
io.quarkus.qute.EngineBuilder,31,12,9,250
org.jboss.jandex.AnnotationInstance,30,7,9,142
org.jboss.jandex.Indexer$TmpObjects,30,7,11,102
org.jboss.jandex.WildcardType,30,14,14,146
io.quarkus.qute.EvaluatorImpl,28,5,16,141
io.quarkus.qute.ValueResolvers,28,20,11,132
org.jboss.jandex.ParameterizedType,25,12,8,106
io.quarkus.arc.processor.BeanConfiguratorBase,25,8,1,96
org.jboss.logmanager.JBossLoggerFinder,25,3,8,97
io.quarkus.arc.processor.InjectionPointInfo,24,6,9,101
io.quarkus.qute.Results,24,6,9,94
io.quarkus.qute.TemplateImpl$TemplateInstanceImpl,24,8,6,120
org.jboss.jandex.MethodInternal$NameAndParameterComponentComparator,23,2,14,108
io.quarkus.qute.TemplateException,23,5,7,89
io.quarkus.qute.deployment.QuteProcessor$MatchResult,23,12,18,107
io.quarkus.qute.MemberKey,22,4,7,96
io.quarkus.qute.HtmlEscaper,21,4,3,88
org.jboss.jandex.FieldInfo,21,12,2,64
io.quarkus.qute.deployment.TemplateDataBuildItem,21,4,7,77
org.jboss.logmanager.LogContext$LazyHolder,20,2,0,63
io.quarkus.qute.IncludeSectionHelper$AbstractIncludeFactory,20,4,0,44
io.quarkus.gizmo2.impl.GizmoImpl,19,6,2,86
org.jboss.jandex.Utils,19,6,5,67
org.slf4j.helpers.Reporter,18,7,6,75
io.quarkus.qute.deployment.Types$AssignabilityCheck,18,3,6,66
io.quarkus.arc.deployment.AutoAddScopeBuildItem$Builder,18,7,3,72
org.jboss.logmanager.Logger,17,4,0,56
io.quarkus.qute.generator.ValueResolverGenerator,17,6,3,75
io.quarkus.gizmo2.creator.ModifierFlag,16,3,0,87
org.jboss.jandex.TypeInterning,16,2,15,65
io.quarkus.qute.TemplateInstanceBase,16,6,5,63
io.quarkus.arc.processor.BuiltinScope,15,5,3,94
org.aesh.readline.alias.AliasManager,15,3,1,49
org.jboss.jandex.CompositeIndex,15,5,4,60
org.jboss.jandex.Utils$ReusableBufferedDataInputStream,15,4,5,45
io.quarkus.qute.SingleResultNode,14,3,9,43
org.slf4j.impl.Slf4jLogger,14,2,0,37
org.jboss.logmanager.ExtHandler,14,2,0,47
