class_name,added_lines,added_methods,added_branches,added_instructions
org.jboss.as.connector.subsystems.datasources.Constants,527,3,0,2591
org.jboss.as.controller.AbstractAttributeDefinitionBuilder,156,62,32,612
org.jboss.as.connector.subsystems.common.pool.Constants,105,2,0,467
org.slf4j.LoggerFactory,91,19,24,265
org.jboss.as.controller.AttributeDefinition,74,28,29,335
org.jboss.as.controller.access.constraint.SensitivityClassification,42,7,0,255
org.jboss.as.controller.client.helpers.MeasurementUnit,42,2,1,336
org.jboss.as.controller.security.CredentialReference,39,4,5,175
org.jboss.as.controller.client.helpers.MeasurementUnit$Scale,36,3,0,269
org.jboss.as.controller.ListAttributeDefinition$Builder,35,8,15,130
org.jboss.as.controller.access.management.SensitiveTargetAccessConstraintDefinition,32,2,0,153
org.jboss.jca.common.api.metadata.Defaults,32,1,0,69
org.jboss.dmr.ModelNode,32,9,6,119
org.jboss.as.controller.SimpleOperationDefinitionBuilder,30,13,2,100
org.jboss.as.controller.MapAttributeDefinition$Builder,28,7,14,106
org.jboss.jca.common.api.metadata.ds.XaDataSource$Tag,27,3,4,151
org.jboss.jca.common.api.metadata.ds.DataSource$Tag,27,3,4,151
org.jboss.jca.common.api.metadata.common.XaPool$Tag,26,3,4,144
org.jboss.jca.common.api.metadata.ds.DataSource$Attribute,24,3,4,130
org.jboss.as.controller.registry.AttributeAccess$Flag,24,2,9,120
org.jboss.jca.common.api.metadata.ds.DsPool$Tag,23,3,4,123
org.jboss.as.controller.operations.validation.ModelTypeValidator,23,5,5,84
org.jboss.jca.common.api.metadata.common.FlushStrategy,23,4,4,119
org.jboss.as.controller.capability.RuntimeCapability$Builder,22,8,2,75
org.jboss.jca.common.api.metadata.ds.TimeOut$Tag,21,3,4,109
org.jboss.jca.common.api.metadata.common.Pool$Tag,21,3,4,109
org.jboss.jca.common.api.metadata.ds.Validation$Tag,21,3,4,109
org.jboss.as.controller.registry.OperationEntry$Flag,20,2,6,98
org.jboss.as.connector.metadata.api.common.Security$Tag,19,3,4,95
org.jboss.as.connector.metadata.api.common.Credential$Tag,19,3,4,95
org.jboss.dmr.ModelType,18,2,0,166
org.jboss.jca.common.api.metadata.ds.Driver$Attribute,17,3,4,81
org.jboss.jca.common.api.metadata.ds.Driver$Tag,16,3,4,74
org.jboss.jca.common.api.metadata.ds.Statement$Tag,16,3,4,74
org.jboss.jca.common.api.metadata.common.Extension$Attribute,15,3,4,67
org.jboss.as.controller.OperationDefinition,15,1,1,55
org.jboss.as.controller.capability.RuntimeCapability,14,4,0,46
org.jboss.jca.common.api.metadata.common.Extension$Tag,14,3,4,60
org.jboss.as.controller.PropertiesAttributeDefinition$Builder,14,3,7,72
org.jboss.jca.common.api.metadata.common.Recovery$Attribute,14,3,4,60
org.jboss.as.controller.ObjectTypeAttributeDefinition,13,3,8,58
org.slf4j.helpers.Reporter,12,5,4,45
org.jboss.as.connector.subsystems.common.jndi.Constants,12,1,0,45
org.jboss.modules.ModuleLoggerFinder,12,4,2,47
org.jboss.as.controller.ObjectTypeAttributeDefinition$Builder,12,3,5,63
org.jboss.as.controller.access.constraint.AllowAllowNotConstraint,12,3,0,38
org.jboss.as.controller.AttributeMarshaller,12,2,0,52
org.jboss.as.controller.operations.validation.EnumValidator,11,3,3,46
org.slf4j.helpers.SubstituteLoggerFactory,11,5,0,37
org.jboss.as.controller.access.constraint.SensitiveTargetConstraint$Factory,11,3,1,32
org.jboss.as.controller.ObjectListAttributeDefinition$Builder,11,3,2,42
org.jboss.as.controller.ModelVersion,11,4,0,42
org.jboss.as.controller.AttributeParsers,11,1,0,41
org.jboss.modules.ModuleLoggerFinder$QueueingSystemLogger,10,3,3,30
org.jboss.as.controller.AttributeParser,10,2,0,35
org.jboss.as.controller.operations.validation.IntRangeValidator,10,4,0,38
org.jboss.jca.common.api.metadata.ds.TransactionIsolation,10,3,0,43
org.jboss.as.controller.operations.validation.NillableOrExpressionParameterValidator,9,4,0,25
org.jboss.as.connector._private.Capabilities,9,1,0,45
org.jboss.as.controller.descriptions.StandardResourceDescriptionResolver,9,2,0,29
org.jboss.as.controller.access.constraint.SensitiveTargetConstraint,9,3,0,36
org.wildfly.common.Assert,9,4,2,19
org.slf4j.helpers.Util,9,3,2,20
org.jboss.as.controller.SimpleAttributeDefinitionBuilder,9,5,0,31
org.jboss.as.controller.AttributeParsers$ObjectMapParser,8,4,1,27
org.jboss.jca.common.api.metadata.ds.Statement$TrackStatementsEnum,8,3,0,35
org.jboss.as.version.Stability,8,2,0,39
org.jboss.as.controller.AttributeMarshallers$ObjectMapAttributeMarshaller,7,3,1,25
org.jboss.as.controller.PrimitiveListAttributeDefinition$Builder,7,4,0,30
org.jboss.dmr.BooleanModelValue,7,2,0,32
org.jboss.as.controller.operations.validation.ListValidator,7,1,0,23
org.jboss.as.controller.AttributeParsers$PropertiesParser,6,3,0,18
org.jboss.as.controller.operations.validation.StringLengthValidator,6,2,0,20
org.jboss.as.controller.access.management.AccessConstraintKey,6,1,2,19
org.jboss.as.controller.DeprecationData,6,2,0,11
org.jboss.as.connector.subsystems.datasources.DataSourcesExtension,6,2,2,49
org.jboss.as.controller.AttributeParsers$MapParser,6,2,2,17
org.slf4j.helpers.SubstituteServiceProvider,6,2,0,21
org.jboss.as.controller.capability.UnaryCapabilityNameResolver,6,1,0,33
org.jboss.dmr.ModelValue,6,4,0,17
org.jboss.as.controller.access.constraint.SensitivityClassification$Key,6,2,4,44
org.jboss.as.controller.operations.validation.MapValidator,6,1,0,20
org.jboss.as.controller.AttributeMarshallers$PropertiesAttributeMarshaller,6,3,0,18
org.slf4j.helpers.NOP_FallbackServiceProvider,5,2,0,21
org.jboss.as.controller.access.constraint.AbstractSensitivity,5,1,0,12
org.jboss.modules.ModuleLoggerFinder$DelegatingSystemLogger,5,3,0,19
org.jboss.as.controller.SimpleOperationDefinition,5,2,0,15
org.jboss.as.controller.AttributeMarshallers$MapAttributeMarshaller,5,1,2,16
org.jboss.as.controller.operations.validation.ObjectTypeValidator,5,1,2,39
org.slf4j.helpers.Reporter$Level,5,2,0,39
org.jboss.as.controller.AttributeMarshaller$ObjectMarshaller,4,2,0,7
org.jboss.dmr.StringModelValue,4,2,0,8
org.jboss.as.controller.MapAttributeDefinition,4,2,0,13
org.jboss.as.controller.CapabilityReferenceRecorder$ContextDependencyRecorder,4,2,0,7
org.jboss.as.controller.OperationContext$AttachmentKey,4,2,0,11
org.jboss.as.controller.AttributeParsers$AttributeElementParser,3,1,0,6
org.jboss.as.controller.ObjectListAttributeDefinition,3,1,0,8
org.jboss.as.controller.PrimitiveListAttributeDefinition,3,1,0,7
org.jboss.dmr.IntModelValue,3,1,0,7
org.slf4j.helpers.BasicMarkerFactory,3,1,0,8
org.jboss.as.controller.AttributeMarshaller$ObjectListMarshaller,3,2,0,4
org.slf4j.helpers.BasicMDCAdapter,3,1,0,14
org.jboss.dmr.LongModelValue,3,1,0,7
org.jboss.as.controller.AttributeMarshaller$ListMarshaller,3,1,0,6
org.jboss.as.controller.descriptions.NonResolvingResourceDescriptionResolver,3,2,0,12
org.jboss.as.controller.CapabilityReferenceRecorder$DefaultCapabilityReferenceRecorder,3,1,0,7
org.jboss.as.controller.ListAttributeDefinition,3,1,0,8
org.slf4j.helpers.Reporter$TargetChoice,2,1,0,15
org.slf4j.helpers.NOPLoggerFactory,2,1,0,3
org.jboss.as.controller.registry.OperationEntry$EntryType,2,1,0,15
org.jboss.as.controller.AttributeMarshaller$UnwrappedObjectListMarshaller,2,1,0,3
org.slf4j.helpers.ThreadLocalMapOfStacks,2,1,0,8
org.jboss.as.controller.SimpleAttributeDefinition,2,1,0,4
org.jboss.as.controller.access.constraint.AbstractConstraint,2,1,0,3
org.jboss.as.controller.transform.description.RejectAttributeChecker$DefaultRejectAttributeChecker,2,1,0,3
org.jboss.modules.ModuleLoggerFinder$1,2,2,0,12
org.jboss.as.controller.AttributeParsers$NamedStringListParser,2,1,0,3
