repo,repo_root
activiti/activiti,/Users/amirdeljouyi/se/integration-tests-llm/dataset-builder/repos/activiti_activiti
alibaba/druid,/Users/amirdeljouyi/se/integration-tests-llm/dataset-builder/repos/alibaba_druid
alibaba/nacos,/Users/amirdeljouyi/se/integration-tests-llm/dataset-builder/repos/alibaba_nacos
apache/beam,/Users/amirdeljouyi/se/integration-tests-llm/dataset-builder/repos/apache_beam
apache/camel,/Users/amirdeljouyi/se/integration-tests-llm/dataset-builder/repos/apache_camel
apache/dolphinscheduler,/Users/amirdeljouyi/se/integration-tests-llm/dataset-builder/repos/apache_dolphinscheduler
apache/druid,/Users/amirdeljouyi/se/integration-tests-llm/dataset-builder/repos/apache_druid
apache/dubbo,/Users/amirdeljouyi/se/integration-tests-llm/dataset-builder/repos/apache_dubbo
apache/flink,/Users/amirdeljouyi/se/integration-tests-llm/dataset-builder/repos/apache_flink
apache/hadoop,/Users/amirdeljouyi/se/integration-tests-llm/dataset-builder/repos/apache_hadoop
apache/hudi,/Users/amirdeljouyi/se/integration-tests-llm/dataset-builder/repos/apache_hudi
apache/iceberg,/Users/amirdeljouyi/se/integration-tests-llm/dataset-builder/repos/apache_iceberg
apache/ignite,/Users/amirdeljouyi/se/integration-tests-llm/dataset-builder/repos/apache_ignite
apache/incubator-doris,/Users/amirdeljouyi/se/integration-tests-llm/dataset-builder/repos/apache_incubator-doris
apache/incubator-shenyu,/Users/amirdeljouyi/se/integration-tests-llm/dataset-builder/repos/apache_incubator-shenyu
apache/kafka,/Users/amirdeljouyi/se/integration-tests-llm/dataset-builder/repos/apache_kafka
apache/maven,/Users/amirdeljouyi/se/integration-tests-llm/dataset-builder/repos/apache_maven
apache/pinot,/Users/amirdeljouyi/se/integration-tests-llm/dataset-builder/repos/apache_pinot
apache/pulsar,/Users/amirdeljouyi/se/integration-tests-llm/dataset-builder/repos/apache_pulsar
apache/rocketmq,/Users/amirdeljouyi/se/integration-tests-llm/dataset-builder/repos/apache_rocketmq
apache/shardingsphere,/Users/amirdeljouyi/se/integration-tests-llm/dataset-builder/repos/apache_shardingsphere
apache/skywalking,/Users/amirdeljouyi/se/integration-tests-llm/dataset-builder/repos/apache_skywalking
apache/tomcat,/Users/amirdeljouyi/se/integration-tests-llm/dataset-builder/repos/apache_tomcat
apereo/cas,/Users/amirdeljouyi/se/integration-tests-llm/dataset-builder/repos/apereo_cas
assertj/assertj-core,/Users/amirdeljouyi/se/integration-tests-llm/dataset-builder/repos/assertj_assertj-core
aws/aws-sdk-java-v2,/Users/amirdeljouyi/se/integration-tests-llm/dataset-builder/repos/aws_aws-sdk-java-v2
axonframework/axonframework,/Users/amirdeljouyi/se/integration-tests-llm/dataset-builder/repos/axonframework_axonframework
azure/azure-sdk-for-java,/Users/amirdeljouyi/se/integration-tests-llm/dataset-builder/repos/azure_azure-sdk-for-java
bazelbuild/bazel,/Users/amirdeljouyi/se/integration-tests-llm/dataset-builder/repos/bazelbuild_bazel
bisq-network/bisq,/Users/amirdeljouyi/se/integration-tests-llm/dataset-builder/repos/bisq-network_bisq
camunda-cloud/zeebe,/Users/amirdeljouyi/se/integration-tests-llm/dataset-builder/repos/camunda-cloud_zeebe
checkstyle/checkstyle,/Users/amirdeljouyi/se/integration-tests-llm/dataset-builder/repos/checkstyle_checkstyle
codecentric/spring-boot-admin,/Users/amirdeljouyi/se/integration-tests-llm/dataset-builder/repos/codecentric_spring-boot-admin
debezium/debezium,/Users/amirdeljouyi/se/integration-tests-llm/dataset-builder/repos/debezium_debezium
dropwizard/dropwizard,/Users/amirdeljouyi/se/integration-tests-llm/dataset-builder/repos/dropwizard_dropwizard
eclipse-openj9/openj9,/Users/amirdeljouyi/se/integration-tests-llm/dataset-builder/repos/eclipse-openj9_openj9
eclipse-vertx/vert.x,/Users/amirdeljouyi/se/integration-tests-llm/dataset-builder/repos/eclipse-vertx_vert.x
eclipse/jetty.project,/Users/amirdeljouyi/se/integration-tests-llm/dataset-builder/repos/eclipse_jetty.project
elastic/elasticsearch,/Users/amirdeljouyi/se/integration-tests-llm/dataset-builder/repos/elastic_elasticsearch
fasterxml/jackson-databind,/Users/amirdeljouyi/se/integration-tests-llm/dataset-builder/repos/fasterxml_jackson-databind
geoserver/geoserver,/Users/amirdeljouyi/se/integration-tests-llm/dataset-builder/repos/geoserver_geoserver
google/error-prone,/Users/amirdeljouyi/se/integration-tests-llm/dataset-builder/repos/google_error-prone
google/guava,/Users/amirdeljouyi/se/integration-tests-llm/dataset-builder/repos/google_guava
grpc/grpc-java,/Users/amirdeljouyi/se/integration-tests-llm/dataset-builder/repos/grpc_grpc-java
halo-dev/halo,/Users/amirdeljouyi/se/integration-tests-llm/dataset-builder/repos/halo-dev_halo
hazelcast/hazelcast,/Users/amirdeljouyi/se/integration-tests-llm/dataset-builder/repos/hazelcast_hazelcast
hibernate/hibernate-orm,/Users/amirdeljouyi/se/integration-tests-llm/dataset-builder/repos/hibernate_hibernate-orm
hyperledger/besu,/Users/amirdeljouyi/se/integration-tests-llm/dataset-builder/repos/hyperledger_besu
jabref/jabref,/Users/amirdeljouyi/se/integration-tests-llm/dataset-builder/repos/jabref_jabref
javaparser/javaparser,/Users/amirdeljouyi/se/integration-tests-llm/dataset-builder/repos/javaparser_javaparser
jenkinsci/jenkins,/Users/amirdeljouyi/se/integration-tests-llm/dataset-builder/repos/jenkinsci_jenkins
junit-team/junit5,/Users/amirdeljouyi/se/integration-tests-llm/dataset-builder/repos/junit-team_junit5
keycloak/keycloak,/Users/amirdeljouyi/se/integration-tests-llm/dataset-builder/repos/keycloak_keycloak
libgdx/libgdx,/Users/amirdeljouyi/se/integration-tests-llm/dataset-builder/repos/libgdx_libgdx
line/armeria,/Users/amirdeljouyi/se/integration-tests-llm/dataset-builder/repos/line_armeria
linkedin/datahub,/Users/amirdeljouyi/se/integration-tests-llm/dataset-builder/repos/linkedin_datahub
metersphere/metersphere,/Users/amirdeljouyi/se/integration-tests-llm/dataset-builder/repos/metersphere_metersphere
micronaut-projects/micronaut-core,/Users/amirdeljouyi/se/integration-tests-llm/dataset-builder/repos/micronaut-projects_micronaut-core
mybatis/mybatis-3,/Users/amirdeljouyi/se/integration-tests-llm/dataset-builder/repos/mybatis_mybatis-3
netty/netty,/Users/amirdeljouyi/se/integration-tests-llm/dataset-builder/repos/netty_netty
open-telemetry/opentelemetry-java-instrumentation,/Users/amirdeljouyi/se/integration-tests-llm/dataset-builder/repos/open-telemetry_opentelemetry-java-instrumentation
openapitools/openapi-generator,/Users/amirdeljouyi/se/integration-tests-llm/dataset-builder/repos/openapitools_openapi-generator
openjdk/jdk,/Users/amirdeljouyi/se/integration-tests-llm/dataset-builder/repos/openjdk_jdk
openrefine/openrefine,/Users/amirdeljouyi/se/integration-tests-llm/dataset-builder/repos/openrefine_openrefine
opensearch-project/opensearch,/Users/amirdeljouyi/se/integration-tests-llm/dataset-builder/repos/opensearch-project_opensearch
opentripplanner/opentripplanner,/Users/amirdeljouyi/se/integration-tests-llm/dataset-builder/repos/opentripplanner_opentripplanner
oracle/graal,/Users/amirdeljouyi/se/integration-tests-llm/dataset-builder/repos/oracle_graal
oracle/opengrok,/Users/amirdeljouyi/se/integration-tests-llm/dataset-builder/repos/oracle_opengrok
orientechnologies/orientdb,/Users/amirdeljouyi/se/integration-tests-llm/dataset-builder/repos/orientechnologies_orientdb
pinpoint-apm/pinpoint,/Users/amirdeljouyi/se/integration-tests-llm/dataset-builder/repos/pinpoint-apm_pinpoint
pmd/pmd,/Users/amirdeljouyi/se/integration-tests-llm/dataset-builder/repos/pmd_pmd
prestodb/presto,/Users/amirdeljouyi/se/integration-tests-llm/dataset-builder/repos/prestodb_presto
quarkusio/quarkus,/Users/amirdeljouyi/se/integration-tests-llm/dataset-builder/repos/quarkusio_quarkus
questdb/questdb,/Users/amirdeljouyi/se/integration-tests-llm/dataset-builder/repos/questdb_questdb
reactivex/rxjava,/Users/amirdeljouyi/se/integration-tests-llm/dataset-builder/repos/reactivex_rxjava
reactor/reactor-core,/Users/amirdeljouyi/se/integration-tests-llm/dataset-builder/repos/reactor_reactor-core
real-logic/aeron,/Users/amirdeljouyi/se/integration-tests-llm/dataset-builder/repos/real-logic_aeron
redis/jedis,/Users/amirdeljouyi/se/integration-tests-llm/dataset-builder/repos/redis_jedis
redisson/redisson,/Users/amirdeljouyi/se/integration-tests-llm/dataset-builder/repos/redisson_redisson
robolectric/robolectric,/Users/amirdeljouyi/se/integration-tests-llm/dataset-builder/repos/robolectric_robolectric
seata/seata,/Users/amirdeljouyi/se/integration-tests-llm/dataset-builder/repos/seata_seata
seleniumhq/selenium,/Users/amirdeljouyi/se/integration-tests-llm/dataset-builder/repos/seleniumhq_selenium
skylot/jadx,/Users/amirdeljouyi/se/integration-tests-llm/dataset-builder/repos/skylot_jadx
spring-projects/spring-boot,/Users/amirdeljouyi/se/integration-tests-llm/dataset-builder/repos/spring-projects_spring-boot
spring-projects/spring-framework,/Users/amirdeljouyi/se/integration-tests-llm/dataset-builder/repos/spring-projects_spring-framework
spring-projects/spring-security,/Users/amirdeljouyi/se/integration-tests-llm/dataset-builder/repos/spring-projects_spring-security
strimzi/strimzi-kafka-operator,/Users/amirdeljouyi/se/integration-tests-llm/dataset-builder/repos/strimzi_strimzi-kafka-operator
swagger-api/swagger-core,/Users/amirdeljouyi/se/integration-tests-llm/dataset-builder/repos/swagger-api_swagger-core
testcontainers/testcontainers-java,/Users/amirdeljouyi/se/integration-tests-llm/dataset-builder/repos/testcontainers_testcontainers-java
thealgorithms/java,/Users/amirdeljouyi/se/integration-tests-llm/dataset-builder/repos/thealgorithms_java
thingsboard/thingsboard,/Users/amirdeljouyi/se/integration-tests-llm/dataset-builder/repos/thingsboard_thingsboard
tomakehurst/wiremock,/Users/amirdeljouyi/se/integration-tests-llm/dataset-builder/repos/tomakehurst_wiremock
trinodb/trino,/Users/amirdeljouyi/se/integration-tests-llm/dataset-builder/repos/trinodb_trino
vespa-engine/vespa,/Users/amirdeljouyi/se/integration-tests-llm/dataset-builder/repos/vespa-engine_vespa
wildfly/wildfly,/Users/amirdeljouyi/se/integration-tests-llm/dataset-builder/repos/wildfly_wildfly
wiremock/wiremock,/Users/amirdeljouyi/se/integration-tests-llm/dataset-builder/repos/wiremock_wiremock
