repo,class_path,test_paths,commit_count,last_commit_date
quarkusio/quarkus,extensions/oidc/runtime/src/main/java/io/quarkus/oidc/OidcTenantConfig.java,extensions/oidc/runtime/src/test/java/io/quarkus/oidc/runtime/OidcTenantConfigTest.java,100,2025-11-25T15:28:16+00:00
quarkusio/quarkus,extensions/qute/deployment/src/main/java/io/quarkus/qute/deployment/QuteProcessor.java,extensions/qute/deployment/src/test/java/io/quarkus/qute/deployment/QuteProcessorTest.java,100,2025-10-21T15:36:50+00:00
spring-projects/spring-boot,buildSrc/src/main/java/org/springframework/boot/build/bom/Library.java,buildSrc/src/test/java/org/springframework/boot/build/bom/LibraryTests.java,45,2025-10-17T09:42:48+00:00
spring-projects/spring-boot,buildSrc/src/main/java/org/springframework/boot/build/architecture/ArchitectureCheck.java,buildSrc/src/test/java/org/springframework/boot/build/architecture/ArchitectureCheckTests.java,33,2025-11-13T13:55:19+00:00
spring-projects/spring-framework,spring-web/src/main/java/org/springframework/http/HttpHeaders.java,spring-web/src/test/java/org/springframework/http/HttpHeadersTests.java,100,2025-11-26T09:22:15+00:00
spring-projects/spring-framework,spring-beans/src/main/java/org/springframework/beans/factory/annotation/AutowiredAnnotationBeanPostProcessor.java,spring-beans/src/test/java/org/springframework/beans/factory/annotation/AutowiredAnnotationBeanPostProcessorTests.java,100,2025-11-08T09:03:18+00:00
checkstyle/checkstyle,src/main/java/com/puppycrawl/tools/checkstyle/checks/SuppressWarningsHolder.java,src/test/java/com/puppycrawl/tools/checkstyle/checks/SuppressWarningsHolderTest.java,100,2025-11-23T12:04:54+00:00
checkstyle/checkstyle,src/main/java/com/puppycrawl/tools/checkstyle/checks/blocks/RightCurlyCheck.java,src/test/java/com/puppycrawl/tools/checkstyle/checks/blocks/RightCurlyCheckTest.java,100,2025-11-23T12:04:54+00:00
apache/shardingsphere,mode/type/standalone/core/src/main/java/org/apache/shardingsphere/mode/manager/standalone/persist/service/StandaloneMetaDataManagerPersistService.java,mode/type/standalone/core/src/test/java/org/apache/shardingsphere/mode/manager/standalone/persist/service/StandaloneMetaDataManagerPersistServiceTest.java,100,2025-11-08T22:45:15+00:00
apache/shardingsphere,mode/core/src/main/java/org/apache/shardingsphere/mode/manager/ContextManager.java,mode/core/src/test/java/org/apache/shardingsphere/mode/manager/ContextManagerTest.java,100,2025-10-10T10:24:20+00:00
keycloak/keycloak,common/src/main/java/org/keycloak/common/Profile.java,common/src/test/java/org/keycloak/common/ProfileTest.java,100,2025-11-25T18:53:34+00:00
keycloak/keycloak,quarkus/runtime/src/main/java/org/keycloak/quarkus/runtime/cli/Picocli.java,quarkus/runtime/src/test/java/org/keycloak/quarkus/runtime/cli/PicocliTest.java,100,2025-11-14T08:34:49+00:00
dropwizard/dropwizard,dropwizard-jersey/src/main/java/io/dropwizard/jersey/DropwizardResourceConfig.java,dropwizard-jersey/src/test/java/io/dropwizard/jersey/DropwizardResourceConfigTest.java,65,2025-01-15T21:31:24+00:00
dropwizard/dropwizard,dropwizard-client/src/main/java/io/dropwizard/client/HttpClientBuilder.java,dropwizard-client/src/test/java/io/dropwizard/client/HttpClientBuilderTest.java,57,2025-08-31T19:44:59+00:00
seleniumhq/selenium,java/src/org/openqa/selenium/grid/node/local/LocalNode.java,java/test/org/openqa/selenium/grid/node/local/LocalNodeTest.java,62,2025-11-14T13:37:49+00:00
seleniumhq/selenium,java/src/org/openqa/selenium/grid/distributor/local/LocalDistributor.java,java/test/org/openqa/selenium/grid/distributor/local/LocalDistributorTest.java,58,2025-09-17T00:56:10+00:00
