Name,local_build,sat_usage,ci_build_combined,ci_state,ci_usage,cr_reviews,cr_comments,cr_changed_files,cr_changed_lines,testing_coverage,stars,forks,watchers,open_issues,closed_issues,total_issues,open_pull_requests,closed_pull_requests,merged_pull_requests,total_pull_requests,releases_count,size_kb,language,is_private,is_fork,is_archived,has_issues,created_at,updated_at,pushed_at,default_branch,commit_count,mentionable_users,unique_pr_authors,has_actions,workflow_has_test_in_name,workflow_content_mentions_test,workflow_runs_tests,has_contributing,test_files,src_files,java_source_version,java_target_version,java_version,test_ratio,closed_issue_ratio,merged_pr_ratio,closed_pr_ratio,log_unique_pr_authors,days_since_push,log_stars,log_forks,log_total_prs,log_test_files,log_commit_count,log_releases,log_mentionable_users,popularity_score,activity_score,pr_score,testing_score,community_score,maturity_score,overall_score,java_version_num
spring-projects/spring-framework,0.0,1.0,0.0,0.0,1.0,0.0,24.0,23.0,108.0,,59240.0,38854.0,3299.0,297.0,27187.0,27484.0,36.0,4574.0,884.0,5494.0,351.0,236361.0,Java,False,False,False,True,2010-12-08T04:04:45Z,2025-11-25T02:42:36Z,2025-11-24 13:44:34+00:00,main,34130.0,1003.0,2370.0,1,False,True,1,1,3919.0,5180.0,17,17,17,0.7565637065637065,0.9891937127055741,0.16090280305788132,0.8325445941026575,7.771067086065406,9,10.98936914872542,10.567592047643343,8.611593866837723,8.273846932784508,10.437961341207826,5.863631175598097,6.911747300251674,0.9962053571428571,0.9188058035714286,0.6579241071428572,0.9144584637102575,0.9802827380952381,1.0,0.9579542736656597,17.0
quarkusio/quarkus,,0.0,0.0,0.0,1.0,56.0,38.0,101.0,3065.0,,15275.0,3017.0,257.0,2478.0,17275.0,19753.0,266.0,3586.0,24596.0,28448.0,434.0,446803.0,Java,False,False,False,True,2018-07-06T00:44:20Z,2025-11-25T02:05:16Z,2025-11-25 02:05:10+00:00,main,55709.0,1137.0,1398.0,1,False,True,1,1,11670.0,7476.0,21,21,21,1.5609951845906902,0.8745507011593175,0.8645950506186727,0.12605455568053994,7.243512974665482,9,9.634038248345407,8.012349639327795,10.255868289551836,9.364862411412354,10.92791494301486,6.075346031088684,7.037027614686276,0.9348214285714285,0.8551153273809524,0.7412202380952381,0.9815822363688678,0.979092261904762,1.0,0.9559573150445979,21.0
spring-projects/spring-boot,1.0,1.0,1.0,1.0,1.0,,,,,,79115.0,41669.0,3327.0,503.0,39933.0,40436.0,20.0,7154.0,42.0,7216.0,330.0,209388.0,Java,False,False,False,True,2012-10-19T15:02:57Z,2025-11-25T03:32:25Z,2025-11-24 15:48:00+00:00,main,58753.0,1193.0,2246.0,1,True,True,1,0,4007.0,4099.0,17,17,17,0.9775555013417907,0.9875605895736472,0.00582039911308204,0.9914079822616408,7.717351272185329,9,11.2786704089013,10.6375367244165,8.884194633072273,8.2960476427647,10.981114514795102,5.802118375377063,7.085064293952548,0.9985119047619048,0.9218191964285714,0.6700520833333333,0.9516913034095814,0.9821428571428571,0.5,0.9455623347809667,17.0
checkstyle/checkstyle,1.0,1.0,0.0,0.0,1.0,8.0,22.0,234.0,9438.0,,8749.0,3904.0,223.0,857.0,4955.0,5812.0,52.0,3746.0,8403.0,12201.0,175.0,213464.0,Java,False,False,False,True,2013-08-31T02:05:05Z,2025-11-24T22:17:57Z,2025-11-24 22:43:18+00:00,master,15678.0,488.0,753.0,1,True,True,1,1,3748.0,2075.0,17,17,17,1.8062650602409638,0.8525464556090847,0.6887140398328006,0.3070240144250471,6.625392368007956,9,9.07680897935166,8.270013062273787,9.409355151711798,8.229244416735913,9.66007751636045,5.170483995038151,6.192362489474872,0.9127232142857142,0.8045572916666668,0.7127604166666666,0.9813825124082867,0.9200892857142857,1.0,0.928997041792548,17.0
apache/shardingsphere,1.0,1.0,1.0,1.0,1.0,49.0,21.0,189.0,6140.0,84.38,20542.0,6870.0,974.0,459.0,11291.0,11750.0,27.0,1594.0,23511.0,25132.0,58.0,677934.0,Java,False,False,False,True,2016-01-18T12:49:26Z,2025-11-24T18:47:25Z,2025-11-23 15:58:49+00:00,master,47344.0,633.0,821.0,1,False,True,1,1,3279.0,4475.0,1.8,1.8,1.8,0.7327374301675977,0.960936170212766,0.9355005570587299,0.0634251153907369,6.71174039505618,10,9.930275529292512,8.835064935031076,10.13193700264052,8.09559870137819,10.765216496417601,4.07753744390572,6.452048954437226,0.9609375,0.7660528273809524,0.7470610119047619,0.9091674084664079,0.9319940476190476,1.0,0.9240422241404115,8.0
keycloak/keycloak,0.0,0.0,1.0,0.0,1.0,63.0,33.0,410.0,3057.0,,31213.0,7847.0,391.0,2137.0,14232.0,16369.0,262.0,3256.0,18421.0,21939.0,94.0,569575.0,Java,False,False,False,True,2013-07-02T13:38:51Z,2025-11-25T01:33:11Z,2025-11-25 01:16:10+00:00,main,29644.0,1411.0,1932.0,1,False,True,1,1,2212.0,4943.0,17,17,17,0.44750151729718796,0.8694483474861018,0.8396462919914308,0.1484115046264643,7.566828479208331,9,10.3486219911025,8.9680140012452,9.99606673382922,7.70210434005105,10.297048756141468,4.553876891600541,7.252762418053187,0.9787946428571428,0.8032552083333333,0.7350446428571429,0.8022387740972523,0.9855654761904762,1.0,0.9136623720957416,17.0
dropwizard/dropwizard,1.0,0.0,1.0,0.0,1.0,45.0,24.0,152.0,9195.0,72.03,8572.0,3439.0,360.0,17.0,1604.0,1621.0,14.0,1645.0,7252.0,8911.0,189.0,114033.0,Java,False,False,False,True,2011-01-19T19:52:29Z,2025-11-24T01:00:27Z,2025-11-24 20:43:33+00:00,release/5.0.x,8926.0,405.0,624.0,1,False,True,1,1,428.0,488.0,11,11,11,0.8770491803278688,0.9895126465144972,0.8138256087981147,0.18460329929300864,6.437751649736401,9,9.056373008678756,8.143226750367445,9.095153962167066,6.061456918928017,9.096835671179361,5.247024072160486,6.0063531596017325,0.9061011904761904,0.8661644345238096,0.7213169642857142,0.8774309676665228,0.9063988095238096,1.0,0.913258411559488,11.0
seleniumhq/selenium,,1.0,1.0,0.0,1.0,20.0,33.0,64.0,229449.0,,33685.0,8625.0,1263.0,148.0,10902.0,11050.0,112.0,2070.0,3234.0,5416.0,111.0,2309767.0,Java,False,False,False,True,2013-01-14T21:40:56Z,2025-11-25T04:04:14Z,2025-11-25 00:39:45+00:00,trunk,33604.0,797.0,1306.0,1,False,True,1,1,416.0,854.0,17,17,17,0.48711943793911006,0.986606334841629,0.5971196454948301,0.38220088626292464,7.175489713624222,9,10.424837599758332,9.062536177207788,8.597297435657898,6.0330862217988015,10.422430144404066,4.718498871295094,6.682108597449809,0.9817708333333333,0.8857328869047619,0.6679315476190477,0.7662227669579917,0.9620535714285715,1.0,0.9096286084061648,17.0
openapitools/openapi-generator,,1.0,1.0,1.0,1.0,14.0,64.0,928.0,83435.0,,25303.0,7297.0,225.0,4995.0,4529.0,9524.0,507.0,2294.0,9977.0,12778.0,75.0,939448.0,Java,False,False,False,True,2018-05-12T09:57:56Z,2025-11-24T22:44:22Z,2025-11-24 11:17:25+00:00,master,21691.0,3358.0,3128.0,1,True,True,1,1,3210.0,4765.0,11,11,11,0.6736621196222455,0.4755354892902142,0.7807951166066677,0.17952731256847707,8.048468743668883,9,10.138717764985484,8.895355616996392,9.455558477608703,8.074337694089515,9.984698807960951,4.330733340286331,8.119398589612294,0.9706845238095236,0.7025111607142859,0.6979910714285714,0.8933469554740325,0.9970238095238095,1.0,0.909445369820889,11.0
apache/dubbo,1.0,1.0,1.0,1.0,1.0,18.0,23.0,52.0,6403.0,,41598.0,26552.0,3000.0,799.0,6512.0,7311.0,119.0,2169.0,5836.0,8124.0,113.0,60849.0,Java,False,False,False,True,2012-06-19T07:56:02Z,2025-11-24T16:11:37Z,2025-11-24 02:02:30+00:00,3.3,8600.0,674.0,1302.0,1,True,True,1,1,1599.0,2416.0,1.8,1.8,1.8,0.6618377483443708,0.8907126248119273,0.7183653372722797,0.26698670605613,7.172424577124845,10,10.635831407498888,10.186898014636986,9.002701007197938,7.3777589082278725,9.059633754551479,4.736198448394496,6.51471269087253,0.9926339285714285,0.7127046130952381,0.6983630952380953,0.878505003776435,0.9430803571428571,1.0,0.9090198521345849,8.0
